ticker,date,time,headline,neg,neu,pos,compound
FCEL,2020-10-14,07:47AM,Implied Volatility Surging for FuelCell Energy (FCEL) Stock Options,0.0,0.464,0.536,0.8442
FCEL,2020-10-12,09:37AM,FuelCell Energy (FCEL) Receives $8M Contract From U.S. DOE,0.0,0.299,0.701,0.9442
FCEL,2020-10-11,02:32AM,FuelCell Energy Gains Over 10% On $8M US Contract,0.0,0.364,0.636,0.8885
FCEL,2020-10-09,12:58PM,Why Hydrogen Fuel Cell Stocks Popped Today,0.0,1.0,0.0,0.0
FCEL,2020-10-09,10:35AM,Why FuelCell Energy's Stock Is Trading Higher Today,0.0,0.538,0.462,0.7906
FCEL,2020-10-09,08:57AM,FuelCell Energy Climbs on Report of DoE Contract,0.0,0.426,0.574,0.8442
FCEL,2020-10-09,08:10AM,FuelCell Energy's stock surges toward a 4-day win streak after DOE project award,0.0,0.578,0.422,0.8074
FCEL,2020-10-09,07:30AM,FuelCell Energy Announces U.S. Department of Energy Project Award,0.0,0.438,0.562,0.7717
FCEL,2020-10-08,01:49PM,Why Shares of FuelCell Energy Jumped 20.8% Today,0.0,0.327,0.673,0.8834
FCEL,2020-10-08,12:49PM,FuelCell Energy stock powers higher after bullish call from J.P. Morgan,0.0,0.526,0.474,0.8442
FCEL,2020-10-08,12:18PM,FuelCell Initiated Overweight on Profit Potential; Shares Up,0.198,0.397,0.405,0.3818
FCEL,2020-10-08,11:20AM,"Charged Up About FuelCell Energy Stock, J.P. Morgan Analyst Sees Nearly 40% Upside",0.121,0.738,0.141,0.0772
FCEL,2020-10-08,10:52AM,FuelCell (FCEL) Raises $177.3M to Fund Development Projects,0.0,1.0,0.0,0.0
FCEL,2020-10-08,07:30AM,"FuelCell Energy Celebrates National Hydrogen and Fuel Cell Day: Providing Hydrogen for Transportation, Delivering Long-Duration Energy Storage and Carbon Capture Through its Advanced Technologies Programs",0.0,0.68,0.32,0.836
FCEL,2020-10-07,06:58PM,FuelCell Energy Successfully Raises Capital to Advance Business Goals,0.0,0.569,0.431,0.6486
FCEL,2020-10-07,03:25PM,Why Renewable Energy Stocks Popped on Wednesday,0.0,0.741,0.259,0.2732
FCEL,2020-10-06,12:13PM,"Investor Alert: Kaplan Fox Investigates FuelCell Energy, Inc. For Potential Securities Fraud",0.208,0.437,0.355,0.1779
FCEL,2020-10-06,10:59AM,FuelCell Energy quietly dropped mention of two contracts that are focus of short sellers criticism,0.161,0.722,0.117,-0.2023
FCEL,2020-10-06,08:46AM,FuelCell Energy Climbs After Rebutting Short-Seller's Claims,0.0,0.741,0.259,0.2732
FCEL,2020-10-06,07:45AM,FuelCell stock surges after saying short seller's claims contain 'factual inaccuracies',0.0,1.0,0.0,0.0
FCEL,2020-10-06,07:30AM,FuelCell Energy Disputes Misleading Claims of Short Seller,0.403,0.42,0.176,-0.4019
FCEL,2020-10-05,03:02PM,"Why Plug Power and Bloom Energy Stocks Raced Out of the Gate on Monday, but FuelCell Energy Stock Sank",0.0,0.802,0.198,0.4939
FCEL,2020-10-05,12:05PM,FuelCell Energy shares drop as short-selling firm alleges it's lost contracts,0.28,0.446,0.274,-0.0258
FCEL,2020-10-02,04:01PM,"FuelCell Energy Announces Closing of Public Offering of 50,025,000 Shares of Common Stock",0.0,0.719,0.281,0.5106
FCEL,2020-10-01,09:50AM,3 Stocks Robinhood Investors Love,0.0,0.417,0.583,0.6369
FCEL,2020-09-30,01:10PM,"FuelCell Energy Prices Shares, To Fund Projects and Refinance",0.0,0.619,0.381,0.5106
FCEL,2020-09-30,10:37AM,Why FuelCell Energy Stock Just Fell More Than 15%,0.0,0.792,0.208,0.2732
FCEL,2020-09-29,09:17PM,FuelCell Energy Announces Pricing of Offering of Common Stock,0.0,0.792,0.208,0.2732
FCEL,2020-09-29,04:01PM,FuelCell Energy Announces Launch of Offering of Common Stock,0.0,0.792,0.208,0.2732
FCEL,2020-09-29,07:30AM,FuelCell Energy Announces Multiple Awards to Provide Clean Energy to Northeast Power Grid,0.0,0.476,0.524,0.836
FCEL,2020-09-23,06:04PM,Why 3 Hydrogen Fuel-Cell Stocks Crashed Today,0.0,1.0,0.0,0.0
FCEL,2020-09-18,03:50PM,FuelCell Is In a $1.1 Billion Hole and Still Digging,0.0,1.0,0.0,0.0
FCEL,2020-09-18,12:47PM,FuelCell Wins $3M Funding for Reversible Solid Oxide Project,0.0,0.569,0.431,0.6486
FCEL,2020-09-17,08:30AM,FuelCell Energy Announces U.S. Department of Energy Project Award,0.0,0.438,0.562,0.7717
FCEL,2020-09-11,11:42AM,Price Over Earnings Overview: FuelCell Energy,0.0,0.704,0.296,0.2732
FCEL,2020-09-11,08:52AM,A Look Into FuelCell Energy's Debt,0.385,0.615,0.0,-0.3612
FCEL,2020-09-10,08:00PM,FuelCell Energy (FCEL) Q3 2020 Earnings Call Transcript,0.0,0.769,0.231,0.2732
FCEL,2020-09-10,01:25PM,"FuelCell (FCEL) Q3 Loss Wider than Expected, Revenues Beat",0.15,0.458,0.392,0.6908
FCEL,2020-09-10,12:22PM,Why FuelCell Energy Stock Just Slid 17%,0.0,0.741,0.259,0.2732
